SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,$/SQUARE FEET
PAST SALE,2017-07-21,Single Family Residential,1309 Sunset Ridge Rd,LOS GATOS,CA,95033,1266430,4,3.5,LOS GATOS,2780,432159,456
PAST SALE,2017-07-21,Single Family Residential,210 Bella Vista Ave,LOS GATOS,CA,95030,2250000,4,2.5,LOS GATOS,2200,6450,1023
PAST SALE,2017-07-21,Single Family Residential,1573 Van Dusen Ln,CAMPBELL,CA,95008,2500000,6,4.5,CAMPBELL,5399,14757,463
PAST SALE,2017-07-21,Single Family Residential,1573 Van Dusen Ln,CAMPBELL,CA,95008,2500000,6,4.5,CAMPBELL,5399,14757,463
PAST SALE,2017-07-24,Single Family Residential,16346 Robie Ln,LOS GATOS,CA,95032,1500000,3,1.5,LOS GATOS,1327,11775,1130
PAST SALE,2017-07-24,Single Family Residential,118 Belvale Dr,LOS GATOS,CA,95032,1715000,6,3,LOS GATOS,2448,10179,701
PAST SALE,2017-07-25,Condo/Co-op,538 Pine Wood Ln,LOS GATOS,CA,95032,1025000,3,2.5,LOS GATOS,1533,1680,669
PAST SALE,2017-07-25,Single Family Residential,189 Mary Alice Dr,LOS GATOS,CA,95032,1480000,3,2,LOS GATOS,1344,5220,1101
PAST SALE,2017-07-25,Single Family Residential,20 Mariposa Ave,LOS GATOS,CA,95030,2800000,4,4.5,LOS GATOS,2333,9620,1200
PAST SALE,2017-07-26,Single Family Residential,327-B Skyline,CUPERTINO,CA,95014,1097000,3,2,CUPERTINO,1442,111949,761
PAST SALE,2017-07-26,Single Family Residential,16748 Chirco Dr,LOS GATOS,CA,95032,2260000,5,3,LOS GATOS,2777,12000,814
PAST SALE,2017-07-26,Single Family Residential,90 Fairview Plz,LOS GATOS,CA,95030,2900000,5,3.5,LOS GATOS,3138,9500,924
PAST SALE,2017-07-27,Single Family Residential,114 Highland Oaks Way,LOS GATOS,CA,95032,1400000,5,3,LOS GATOS,1660,7275,843
PAST SALE,2017-07-27,Single Family Residential,19450 Black Rd,LOS GATOS,CA,95033,2225000,3,2.5,LOS GATOS,2938,64033,757
PAST SALE,2017-07-27,Single Family Residential,163 Lu Ray Dr,LOS GATOS,CA,95032,2250000,4,3.5,LOS GATOS,2284,15540,985
PAST SALE,2017-07-28,Single Family Residential,1251 Bracebridge Ct,CAMPBELL,CA,95008,1200000,3,2.5,CAMPBELL,1886,4251,636
PAST SALE,2017-07-28,Single Family Residential,21568 Mary Alice Way,LOS GATOS,CA,95033,745000,2,1,LOS GATOS,1200,30492,621
PAST SALE,2017-07-28,Single Family Residential,23342 Deerfield Rd,LOS GATOS,CA,95033,1460000,3,2,LOS GATOS,3112,56715,469
PAST SALE,2017-07-28,Single Family Residential,967 Cherrystone Dr,LOS GATOS,CA,95032,2140000,4,2.5,LOS GATOS,2018,8000,1060
PAST SALE,2017-07-28,Single Family Residential,16940 Roberts Rd,LOS GATOS,CA,95032,2050000,4,3,LOS GATOS,2172,14140,944
PAST SALE,2017-07-31,Single Family Residential,14500 Quito Rd,LOS GATOS,CA,95032,1825000,4,2.5,LOS GATOS,2255,17500,809
PAST SALE,2017-07-31,Single Family Residential,109 Bond Ct,LOS GATOS,CA,95030,1975000,3,2,LOS GATOS,2118,20720,932
PAST SALE,2017-08-01,Single Family Residential,1505 Oburn Ct,CAMPBELL,CA,95008,1600000,4,3,CAMPBELL,2016,9750,794
PAST SALE,2017-08-01,Single Family Residential,123 HARWOOD Ct,LOS GATOS,CA,95032,3300000,5,5,LOS GATOS,5900,58370,559
PAST SALE,2017-08-02,Townhouse,1901 La Corona Ct,LOS GATOS,CA,95032,1106000,3,2.5,LOS GATOS,1953,2040,566
PAST SALE,2017-08-03,Single Family Residential,122 Verde Ct,LOS GATOS,CA,95032,2110000,4,3.5,LOS GATOS,2581,8007,818
PAST SALE,2017-08-07,Single Family Residential,600 Starview Ter,LOS GATOS,CA,95033,1060000,3,2,LOS GATOS,1650,50747,642
PAST SALE,2017-08-07,Single Family Residential,106 Costances Ct,LOS GATOS,CA,95032,2755000,4,3,LOS GATOS,3001,11237,918
